qubits	depth	max_operand	time
12	50	3	0.590691033
12	50	4	0.630818976
12	50	4	0.707662071
12	50	4	0.767054798
12	50	4	0.824283396
12	50	4	0.605800021
13	5	1	0.006059826
13	5	1	0.006350438
13	5	1	0.008523209
13	5	1	0.00956492
13	5	1	0.011347425
13	5	2	0.080152334
13	5	2	0.069836079
13	5	2	0.063028095
13	5	2	0.068170948
13	5	2	0.04664049
13	5	3	0.072552444
13	5	3	0.063886992
13	5	3	0.069862223
13	5	3	0.077201758
13	5	3	0.054120046
13	5	4	0.064727657
13	5	4	0.072460437
13	5	4	0.060562234
13	5	4	0.051056741
13	5	4	0.072471911
13	20	1	0.006124037
13	20	1	0.009302896
13	20	1	0.013855688
13	20	1	0.011164358
13	20	1	0.008676706
13	20	2	0.344490608
13	20	2	0.434192843
13	20	2	0.296092639
13	20	2	0.335391675
13	20	2	0.333638822
13	20	3	0.264971469
13	20	3	0.412932121
13	20	3	0.485265475
13	20	3	0.519227602
13	20	3	0.425872582
13	20	4	0.56689349
13	20	4	0.467605505
13	20	4	0.480720559
13	20	4	0.518743318
13	20	4	0.374580109
13	35	1	0.00409189
13	35	1	0.003022831
13	35	1	0.002788801
13	35	1	0.002986791
13	35	1	0.003804971
13	35	2	0.624770154
13	35	2	0.962465038
13	35	2	0.665943484
13	35	2	0.750280476
13	35	2	0.799608683
13	35	3	0.829366802
13	35	3	0.909773947
13	35	3	1.039437729
13	35	3	0.853107328
13	35	3	0.811077348
13	35	4	1.323739333
13	35	4	1.132873935
13	35	4	0.856901215
13	35	4	0.822031471
13	35	4	1.096539418
13	50	1	0.003230924
13	50	1	0.002869604
13	50	1	0.002968449
13	50	1	0.002988834
13	50	1	0.003497605
13	50	2	1.555570348
13	50	2	1.342143826
13	50	2	1.232139254
13	50	2	1.337644734
13	50	2	1.058320928
13	50	3	1.279243406
13	50	3	1.304219289
13	50	3	1.427498248
13	50	3	1.297472411
13	50	3	1.429750737
13	50	4	1.975068411
13	50	4	1.443080974
13	50	4	1.886795894
13	50	4	1.435845857
13	50	4	1.64340672
14	5	1	0.00428118
14	5	1	0.003267933
14	5	1	0.010217306
14	5	1	0.004553109
14	5	1	0.003903352
14	5	2	0.066322029
14	5	2	0.069958345
14	5	2	0.079354068
14	5	2	0.07866928
14	5	2	0.074467472
14	5	3	0.071355192
14	5	3	0.057379367
14	5	3	0.072523597
14	5	3	0.070877712
14	5	3	0.069847225
14	5	4	0.023619085
14	5	4	0.071651745
14	5	4	0.072899781
14	5	4	0.06845041
14	5	4	0.077967487
14	20	1	0.01033049
14	20	1	0.003829533
14	20	1	0.002899314
14	20	1	0.00457682
14	20	1	0.005125922
14	20	2	1.439667149
14	20	2	1.614995365
14	20	2	1.504466757
14	20	2	1.170748651
14	20	2	1.363088257
14	20	3	0.922947457
14	20	3	1.387011963
14	20	3	1.808884869
14	20	3	2.040071878
14	20	3	1.556717416
14	20	4	1.197554718
14	20	4	1.405298915
14	20	4	2.220511923
14	20	4	1.2140011
14	20	4	1.428870428
14	35	1	0.003295495
14	35	1	0.007434609
14	35	1	0.004851194
14	35	1	0.004409079
14	35	1	0.004674813
14	35	2	2.738954022
14	35	2	3.06409801
14	35	2	2.96931361
14	35	2	3.138448567
14	35	2	2.815405394
14	35	3	2.788282221
14	35	3	3.398321032
14	35	3	2.912687552
14	35	3	3.544754901
14	35	3	3.511963312
14	35	4	3.773689014
14	35	4	3.400308797
14	35	4	3.687836126
14	35	4	3.936624096
14	35	4	3.54842888
14	50	1	0.003762009
14	50	1	0.003765559
14	50	1	0.003177281
14	50	1	0.003012351
14	50	1	0.003534303
14	50	2	4.773660814
14	50	2	4.472184089
14	50	2	4.619722965
14	50	2	4.299590885
14	50	2	4.365433032
14	50	3	5.626712576
14	50	3	5.198102094
14	50	3	4.815367296
14	50	3	5.199213761
14	50	3	5.53582466
14	50	4	5.630209
14	50	4	6.138397171
14	50	4	4.793351602
14	50	4	4.8531405
14	50	4	5.287147923
15	5	1	0.004942558
15	5	1	0.005381254
15	5	1	0.009470899
15	5	1	0.012872077
15	5	1	0.006161784
15	5	2	0.091958128
15	5	2	0.130197573
15	5	2	0.079551704
15	5	2	0.076025785
15	5	2	0.083018597
15	5	3	0.071868222
15	5	3	0.07542824
15	5	3	0.078019168
15	5	3	0.067443128
15	5	3	0.073326724
15	5	4	0.067498601
15	5	4	0.069626552
15	5	4	0.080474085
15	5	4	0.067251638
15	5	4	0.081283917
15	20	1	0.004616014
15	20	1	0.005897426
15	20	1	0.002948502
15	20	1	0.00390439
15	20	1	0.004237586
15	20	2	3.667632222
15	20	2	3.862490133
15	20	2	3.113322411
15	20	2	4.439804289
15	20	2	2.857478798
15	20	3	3.716235604
15	20	3	4.978254217
15	20	3	4.456244852
15	20	3	4.529953243
15	20	3	4.531446839
15	20	4	4.791807176
15	20	4	4.239480908
15	20	4	4.148946626
15	20	4	1.996471658
15	20	4	4.483211955
15	35	1	0.005480341
15	35	1	0.011650404
15	35	1	0.007546098
15	35	1	0.011750569
15	35	1	0.010530514
15	35	2	6.756915068
15	35	2	5.135700472
15	35	2	6.496422559
15	35	2	6.797201538
15	35	2	6.441735289
15	35	3	6.974361029
15	35	3	6.278315293
15	35	3	6.938566978
15	35	3	7.169723379
15	35	3	7.793582992
15	35	4	8.946690327
15	35	4	6.469102818
15	35	4	8.085203657
15	35	4	9.840565619
15	35	4	9.203688436
15	50	1	0.008712029
15	50	1	0.010165999
15	50	1	0.012057428
15	50	1	0.009663005
15	50	1	0.003589349
15	50	2	9.595830816
15	50	2	10.806252437
15	50	2	10.039572359
15	50	2	9.65804529
15	50	2	10.475928547
15	50	3	11.313489082
15	50	3	12.655920301
15	50	3	11.847433175
15	50	3	10.071302636
15	50	3	11.220079857
15	50	4	14.452718417
15	50	4	12.119224128
15	50	4	11.964929607
15	50	4	10.829615893
15	50	4	12.828471619
16	5	1	0.011063627
16	5	1	0.017362226
16	5	1	0.02359871
16	5	1	0.00666885
16	5	1	0.005339585
16	5	2	0.149725456
16	5	2	0.078463819
16	5	2	0.07283145
16	5	2	0.090493041
16	5	2	0.165276752
16	5	3	0.105758332
16	5	3	0.090459518
16	5	3	0.049676222
16	5	3	0.070879115
16	5	3	0.087819857
16	5	4	0.094594273
16	5	4	0.098311037
16	5	4	0.101472649
16	5	4	0.08325313
16	5	4	0.098002189
16	20	1	0.011280771
16	20	1	0.010643492
16	20	1	0.010136418
16	20	1	0.023005314
16	20	1	0.008988915
16	20	2	11.600082685
16	20	2	13.030591941
16	20	2	10.924245191
16	20	2	11.644672198
16	20	2	13.984410722
16	20	3	8.275399854
16	20	3	14.878614591
16	20	3	9.51492177
16	20	3	11.6436728
16	20	3	12.884430493
16	20	4	15.275571424
16	20	4	12.196114103
16	20	4	14.4841061
16	20	4	9.100343942
16	20	4	5.425334979
16	35	1	0.005251364
16	35	1	0.008293818
16	35	1	0.006871246
16	35	1	0.007082926
16	35	1	0.007331198
16	35	2	25.133734377
16	35	2	24.989660403
16	35	2	26.357123548
16	35	2	23.428315805
16	35	2	24.846972573
16	35	3	29.070453207
16	35	3	22.729941285
16	35	3	26.527445695
16	35	3	29.402250639
16	35	3	29.30032634
16	35	4	28.208186473
16	35	4	23.324672284
16	35	4	32.465002638
16	35	4	40.602652838
16	35	4	29.720395581
16	50	1	0.009397565
16	50	1	0.01103567
16	50	1	0.009591035
16	50	1	0.010429812
16	50	1	0.011689847
16	50	2	39.66901436
16	50	2	41.103815801
16	50	2	37.954202619
16	50	2	39.366767315
16	50	2	38.489853975
16	50	3	42.112870238
16	50	3	39.679006016
16	50	3	45.036225684
16	50	3	47.034916389
16	50	3	54.125071745
16	50	4	44.318474422
16	50	4	54.54783543
16	50	4	51.059172087
16	50	4	51.249310515
16	50	4	51.234130478
17	5	1	0.008706548
17	5	1	0.005316145
17	5	1	0.006475733
17	5	1	0.007199148
17	5	1	0.008810543
17	5	2	0.098395763
17	5	2	0.08751496
17	5	2	0.098355045
17	5	2	0.096614763
17	5	2	0.091549475
17	5	3	0.086786201
17	5	3	0.108077686
17	5	3	0.085466035
17	5	3	0.088668891
17	5	3	0.205116438
17	5	4	0.088388221
17	5	4	0.100697023
17	5	4	0.071051362
17	5	4	0.087697873
17	5	4	0.0939052
17	20	1	0.013314069
17	20	1	0.013716765
17	20	1	0.010727528
17	20	1	0.008274959
17	20	1	0.008724382
17	20	2	28.485895923
17	20	2	20.73570427
17	20	2	24.29838916
17	20	2	29.39005217
17	20	2	31.975761621
17	20	3	32.324194308
17	20	3	29.74074131
17	20	3	30.721854151
17	20	3	36.553348937
17	20	3	33.359693874
17	20	4	38.796992967
17	20	4	30.741891397
17	20	4	43.435063826
17	20	4	59.23904163
17	20	4	41.959051836
17	35	1	0.006739885
17	35	1	0.003686826
17	35	1	0.003889637
17	35	1	0.003889138
17	35	1	0.004581845
17	35	2	77.532683375
17	35	2	69.580066054
17	35	2	64.004797302
17	35	2	75.169565773
17	35	2	68.791746431
17	35	3	76.987980971
17	35	3	94.834002561
17	35	3	91.33497415
17	35	3	79.892529192
17	35	3	81.917632491
17	35	4	108.220276978
17	35	4	134.492096677
17	35	4	115.642602152
17	35	4	113.765690006
17	35	4	99.189524104
17	50	1	0.006792929
17	50	1	0.004706542
17	50	1	0.010105979
17	50	1	0.003383633
17	50	1	0.013600527
17	50	2	103.28136929
17	50	2	113.26331044
17	50	2	96.768182474
17	50	2	115.902593419
17	50	2	110.918263395
17	50	3	142.094454209
17	50	3	124.955464184
17	50	3	123.716351569
17	50	3	132.128311653
17	50	3	123.63845386
17	50	4	191.988871897
17	50	4	134.015428635
17	50	4	159.372937458
17	50	4	157.784620333
17	50	4	165.631291024
18	5	1	0.004088259
18	5	1	0.003829875
18	5	1	0.003646323
18	5	1	0.00341355
18	5	1	0.003822908
18	5	2	0.25646123
18	5	2	0.099363632
18	5	2	0.081755869
18	5	2	0.08455655
18	5	2	0.102815164
18	5	3	0.097792437
18	5	3	0.142380054
18	5	3	0.241656289
18	5	3	0.088700564
18	5	3	0.079462762
18	5	4	0.090670865
18	5	4	0.07484665
18	5	4	0.104650101
18	5	4	0.095696999
18	5	4	0.097707872
18	20	1	0.003940858
18	20	1	0.005386655
18	20	1	0.003775598
18	20	1	0.003637648
18	20	1	0.003567995
18	20	2	126.443644069
18	20	2	60.11177598
18	20	2	70.460174809
18	20	2	164.562480432
18	20	2	87.663769335
18	20	3	187.103227564
18	20	3	137.176285275
18	20	3	153.572798654
18	20	3	138.567554768
18	20	3	119.423302782
18	20	4	84.625167808
18	20	4	162.083619948
18	20	4	254.721663864
18	20	4	96.303281163
